"","SYMBOL","ENSEMBL","gene"
"ABLIM2","ABLIM2","ENSG00000163995","ABLIM2"
"ABLIM3","ABLIM3","ENSG00000173210","ABLIM3"
"ABO","ABO","ENSG00000175164","ABO"
"ABR","ABR","ENSG00000159842","ABR"
"ABRA","ABRA","ENSG00000174429","ABRA"
"ABRACL","ABRACL","ENSG00000146386","ABRACL"
"ABRAXAS1","ABRAXAS1","ENSG00000163322","ABRAXAS1"
"ABRAXAS2","ABRAXAS2","ENSG00000165660","ABRAXAS2"
"ABT1","ABT1","ENSG00000146109","ABT1"
"ABTB1","ABTB1","ENSG00000114626","ABTB1"
"ABTB2","ABTB2","ENSG00000166016","ABTB2"
"ACAA1","ACAA1","ENSG00000060971","ACAA1"
"ACAA2","ACAA2","ENSG00000167315","ACAA2"
"ACACA","ACACA","ENSG00000278540","ACACA"
"ACACB","ACACB","ENSG00000076555","ACACB"
"ACAD10","ACAD10","ENSG00000111271","ACAD10"
"ACAD11","ACAD11","ENSG00000240303","ACAD11"
"ACAD8","ACAD8","ENSG00000151498","ACAD8"
"ACAD9","ACAD9","ENSG00000177646","ACAD9"
"ACADL","ACADL","ENSG00000115361","ACADL"
"ACADM","ACADM","ENSG00000117054","ACADM"
"ACADS","ACADS","ENSG00000122971","ACADS"
"ACADSB","ACADSB","ENSG00000196177","ACADSB"
"ACADVL","ACADVL","ENSG00000072778","ACADVL"
"ACAN","ACAN","ENSG00000157766","ACAN"
"ACAP1","ACAP1","ENSG00000072818","ACAP1"
"ACAP2","ACAP2","ENSG00000114331","ACAP2"
"ACAP3","ACAP3","ENSG00000131584","ACAP3"
"ACAT1","ACAT1","ENSG00000075239","ACAT1"
"ACAT2","ACAT2","ENSG00000120437","ACAT2"
"ACBD3","ACBD3","ENSG00000182827","ACBD3"
"ACBD3-AS1","ACBD3-AS1","ENSG00000234478","ACBD3-AS1"
"ACBD4","ACBD4","ENSG00000181513","ACBD4"
"ACBD5","ACBD5","ENSG00000107897","ACBD5"
"ACBD6","ACBD6","ENSG00000230124","ACBD6"
"ACBD7","ACBD7","ENSG00000176244","ACBD7"
"ACCS","ACCS","ENSG00000110455","ACCS"
"ACCSL","ACCSL","ENSG00000205126","ACCSL"
"ACD","ACD","ENSG00000102977","ACD"
"ACE","ACE","ENSG00000159640","ACE"
"ACE2","ACE2","ENSG00000130234","ACE2"
"ACER1","ACER1","ENSG00000167769","ACER1"
"ACER2","ACER2","ENSG00000177076","ACER2"
"ACER3","ACER3","ENSG00000078124","ACER3"
"ACHE","ACHE","ENSG00000087085","ACHE"
"ACIN1","ACIN1","ENSG00000100813","ACIN1"
"ACKR1","ACKR1","ENSG00000213088","ACKR1"
"ACKR2","ACKR2","ENSG00000144648","ACKR2"
"ACKR3","ACKR3","ENSG00000144476","ACKR3"
"ACKR4","ACKR4","ENSG00000129048","ACKR4"
"ACLY","ACLY","ENSG00000131473","ACLY"
"ACMSD","ACMSD","ENSG00000153086","ACMSD"
"ACO1","ACO1","ENSG00000122729","ACO1"
"ACO2","ACO2","ENSG00000100412","ACO2"
"ACOD1","ACOD1","ENSG00000102794","ACOD1"
"ACOT1","ACOT1","ENSG00000184227","ACOT1"
"ACOT11","ACOT11","ENSG00000162390","ACOT11"
"ACOT12","ACOT12","ENSG00000172497","ACOT12"
"ACOT13","ACOT13","ENSG00000112304","ACOT13"
"ACOT2","ACOT2","ENSG00000119673","ACOT2"
"ACOT4","ACOT4","ENSG00000177465","ACOT4"
"ACOT6","ACOT6","ENSG00000205669","ACOT6"
"ACOT7","ACOT7","ENSG00000097021","ACOT7"
"ACOT8","ACOT8","ENSG00000101473","ACOT8"
"ACOT9","ACOT9","ENSG00000123130","ACOT9"
"ACOX1","ACOX1","ENSG00000161533","ACOX1"
"ACOX2","ACOX2","ENSG00000168306","ACOX2"
"ACOX3","ACOX3","ENSG00000087008","ACOX3"
"ACOXL","ACOXL","ENSG00000153093","ACOXL"
"ACOXL-AS1","ACOXL-AS1","ENSG00000204581","ACOXL-AS1"
"ACP1","ACP1","ENSG00000143727","ACP1"
"ACP2","ACP2","ENSG00000134575","ACP2"
"ACP4","ACP4","ENSG00000142513","ACP4"
"ACP5","ACP5","ENSG00000102575","ACP5"
"ACP6","ACP6","ENSG00000162836","ACP6"
"ACP7","ACP7","ENSG00000183760","ACP7"
"ACR","ACR","ENSG00000100312","ACR"
"ACRBP","ACRBP","ENSG00000111644","ACRBP"
"ACRV1","ACRV1","ENSG00000134940","ACRV1"
"ACSBG1","ACSBG1","ENSG00000103740","ACSBG1"
"ACSBG2","ACSBG2","ENSG00000130377","ACSBG2"
"ACSF2","ACSF2","ENSG00000167107","ACSF2"
"ACSF3","ACSF3","ENSG00000176715","ACSF3"
"ACSL1","ACSL1","ENSG00000151726","ACSL1"
"ACSL3","ACSL3","ENSG00000123983","ACSL3"
"ACSL4","ACSL4","ENSG00000068366","ACSL4"
"ACSL5","ACSL5","ENSG00000197142","ACSL5"
"ACSL6","ACSL6","ENSG00000164398","ACSL6"
"ACSM1","ACSM1","ENSG00000166743","ACSM1"
"ACSM2A","ACSM2A","ENSG00000183747","ACSM2A"
"ACSM2B","ACSM2B","ENSG00000066813","ACSM2B"
"ACSM3","ACSM3","ENSG00000005187","ACSM3"
"ACSM4","ACSM4","ENSG00000215009","ACSM4"
"ACSM5","ACSM5","ENSG00000183549","ACSM5"
"ACSM6","ACSM6","ENSG00000173124","ACSM6"
"ACSS1","ACSS1","ENSG00000154930","ACSS1"
"ACSS2","ACSS2","ENSG00000131069","ACSS2"
"ACSS3","ACSS3","ENSG00000111058","ACSS3"
"ACTA1","ACTA1","ENSG00000143632","ACTA1"
"ACTA2","ACTA2","ENSG00000107796","ACTA2"
"ACTA2-AS1","ACTA2-AS1","ENSG00000180139","ACTA2-AS1"
"ACTB","ACTB","ENSG00000075624","ACTB"
"ACTBL2","ACTBL2","ENSG00000169067","ACTBL2"
"ACTC1","ACTC1","ENSG00000159251","ACTC1"
"ACTG1","ACTG1","ENSG00000184009","ACTG1"
"ACTG2","ACTG2","ENSG00000163017","ACTG2"
"ACTL10","ACTL10","ENSG00000182584","ACTL10"
"ACTL6A","ACTL6A","ENSG00000136518","ACTL6A"
"ACTL6B","ACTL6B","ENSG00000077080","ACTL6B"
"ACTL7A","ACTL7A","ENSG00000187003","ACTL7A"
"ACTL7B","ACTL7B","ENSG00000148156","ACTL7B"
"ACTL8","ACTL8","ENSG00000117148","ACTL8"
"ACTL9","ACTL9","ENSG00000181786","ACTL9"
"ACTN1","ACTN1","ENSG00000072110","ACTN1"
"ACTN1-AS1","ACTN1-AS1","ENSG00000259062","ACTN1-AS1"
"ACTN2","ACTN2","ENSG00000077522","ACTN2"
"ACTN3","ACTN3","ENSG00000248746","ACTN3"
"ACTN4","ACTN4","ENSG00000130402","ACTN4"
"ACTR10","ACTR10","ENSG00000131966","ACTR10"
"ACTR1A","ACTR1A","ENSG00000138107","ACTR1A"
"ACTR1B","ACTR1B","ENSG00000115073","ACTR1B"
"ACTR2","ACTR2","ENSG00000138071","ACTR2"
"ACTR3","ACTR3","ENSG00000115091","ACTR3"
"ACTR3B","ACTR3B","ENSG00000133627","ACTR3B"
"ACTR3C","ACTR3C","ENSG00000106526","ACTR3C"
"ACTR5","ACTR5","ENSG00000101442","ACTR5"
"ACTR6","ACTR6","ENSG00000075089","ACTR6"
"ACTR8","ACTR8","ENSG00000113812","ACTR8"
"ACTRT1","ACTRT1","ENSG00000123165","ACTRT1"
"ACTRT2","ACTRT2","ENSG00000169717","ACTRT2"
"ACTRT3","ACTRT3","ENSG00000184378","ACTRT3"
"ACVR1","ACVR1","ENSG00000115170","ACVR1"
"ACVR1B","ACVR1B","ENSG00000135503","ACVR1B"
"ACVR1C","ACVR1C","ENSG00000123612","ACVR1C"
"ACVR2A","ACVR2A","ENSG00000121989","ACVR2A"
"ACVR2B","ACVR2B","ENSG00000114739","ACVR2B"
"ACVR2B-AS1","ACVR2B-AS1","ENSG00000229589","ACVR2B-AS1"
"ACVRL1","ACVRL1","ENSG00000139567","ACVRL1"
"ACY1","ACY1","ENSG00000243989","ACY1"
"ACY3","ACY3","ENSG00000132744","ACY3"
"ACYP1","ACYP1","ENSG00000119640","ACYP1"
"ACYP2","ACYP2","ENSG00000170634","ACYP2"
"ADA","ADA","ENSG00000196839","ADA"
"ADA2","ADA2","ENSG00000093072","ADA2"
"ADAD1","ADAD1","ENSG00000164113","ADAD1"
"ADAD2","ADAD2","ENSG00000140955","ADAD2"
"ADAL","ADAL","ENSG00000168803","ADAL"
"ADAM10","ADAM10","ENSG00000137845","ADAM10"
"ADAM11","ADAM11","ENSG00000073670","ADAM11"
"ADAM12","ADAM12","ENSG00000148848","ADAM12"
"ADAM15","ADAM15","ENSG00000143537","ADAM15"
"ADAM17","ADAM17","ENSG00000151694","ADAM17"
"ADAM18","ADAM18","ENSG00000168619","ADAM18"
"ADAM19","ADAM19","ENSG00000135074","ADAM19"
"ADAM2","ADAM2","ENSG00000104755","ADAM2"
"ADAM20","ADAM20","ENSG00000134007","ADAM20"
"ADAM21","ADAM21","ENSG00000139985","ADAM21"
"ADAM22","ADAM22","ENSG00000008277","ADAM22"
"ADAM23","ADAM23","ENSG00000114948","ADAM23"
"ADAM28","ADAM28","ENSG00000042980","ADAM28"
"ADAM29","ADAM29","ENSG00000168594","ADAM29"
"ADAM30","ADAM30","ENSG00000134249","ADAM30"
"ADAM32","ADAM32","ENSG00000197140","ADAM32"
"ADAM33","ADAM33","ENSG00000149451","ADAM33"
"ADAM7","ADAM7","ENSG00000069206","ADAM7"
"ADAM8","ADAM8","ENSG00000151651","ADAM8"
"ADAM9","ADAM9","ENSG00000168615","ADAM9"
"ADAMDEC1","ADAMDEC1","ENSG00000134028","ADAMDEC1"
"ADAMTS1","ADAMTS1","ENSG00000154734","ADAMTS1"
"ADAMTS10","ADAMTS10","ENSG00000142303","ADAMTS10"
"ADAMTS12","ADAMTS12","ENSG00000151388","ADAMTS12"
"ADAMTS13","ADAMTS13","ENSG00000160323","ADAMTS13"
"ADAMTS14","ADAMTS14","ENSG00000138316","ADAMTS14"
"ADAMTS15","ADAMTS15","ENSG00000166106","ADAMTS15"
"ADAMTS16","ADAMTS16","ENSG00000145536","ADAMTS16"
"ADAMTS17","ADAMTS17","ENSG00000140470","ADAMTS17"
"ADAMTS18","ADAMTS18","ENSG00000140873","ADAMTS18"
"ADAMTS19","ADAMTS19","ENSG00000145808","ADAMTS19"
"ADAMTS19-AS1","ADAMTS19-AS1","ENSG00000249421","ADAMTS19-AS1"
"ADAMTS2","ADAMTS2","ENSG00000087116","ADAMTS2"
"ADAMTS20","ADAMTS20","ENSG00000173157","ADAMTS20"
"ADAMTS3","ADAMTS3","ENSG00000156140","ADAMTS3"
"ADAMTS4","ADAMTS4","ENSG00000158859","ADAMTS4"
"ADAMTS5","ADAMTS5","ENSG00000154736","ADAMTS5"
"ADAMTS6","ADAMTS6","ENSG00000049192","ADAMTS6"
"ADAMTS7","ADAMTS7","ENSG00000136378","ADAMTS7"
"ADAMTS8","ADAMTS8","ENSG00000134917","ADAMTS8"
"ADAMTS9","ADAMTS9","ENSG00000163638","ADAMTS9"
"ADAMTS9-AS1","ADAMTS9-AS1","ENSG00000241158","ADAMTS9-AS1"
"ADAMTS9-AS2","ADAMTS9-AS2","ENSG00000241684","ADAMTS9-AS2"
"ADAMTSL1","ADAMTSL1","ENSG00000178031","ADAMTSL1"
"ADAMTSL2","ADAMTSL2","ENSG00000197859","ADAMTSL2"
"ADAMTSL3","ADAMTSL3","ENSG00000156218","ADAMTSL3"
"ADAMTSL4","ADAMTSL4","ENSG00000143382","ADAMTSL4"
"ADAMTSL4-AS1","ADAMTSL4-AS1","ENSG00000203804","ADAMTSL4-AS1"
"ADAMTSL5","ADAMTSL5","ENSG00000185761","ADAMTSL5"
"ADAP1","ADAP1","ENSG00000105963","ADAP1"
"ADAP2","ADAP2","ENSG00000184060","ADAP2"
"ADAR","ADAR","ENSG00000160710","ADAR"
"ADARB1","ADARB1","ENSG00000197381","ADARB1"
"ADARB2","ADARB2","ENSG00000185736","ADARB2"
"ADARB2-AS1","ADARB2-AS1","ENSG00000205696","ADARB2-AS1"
"ADAT1","ADAT1","ENSG00000065457","ADAT1"
"ADAT2","ADAT2","ENSG00000189007","ADAT2"
"ADAT3","ADAT3","ENSG00000213638","ADAT3"
"ADCK1","ADCK1","ENSG00000063761","ADCK1"
"ADCK2","ADCK2","ENSG00000133597","ADCK2"
"ADCK5","ADCK5","ENSG00000173137","ADCK5"
"ADCY1","ADCY1","ENSG00000164742","ADCY1"
"ADCY10","ADCY10","ENSG00000143199","ADCY10"
"ADCY2","ADCY2","ENSG00000078295","ADCY2"
"ADCY3","ADCY3","ENSG00000138031","ADCY3"
"ADCY4","ADCY4","ENSG00000129467","ADCY4"
"ADCY5","ADCY5","ENSG00000173175","ADCY5"
"ADCY6","ADCY6","ENSG00000174233","ADCY6"
"ADCY6-DT","ADCY6-DT","ENSG00000257660","ADCY6-DT"
"ADCY7","ADCY7","ENSG00000121281","ADCY7"
"ADCY8","ADCY8","ENSG00000155897","ADCY8"
"ADCY9","ADCY9","ENSG00000162104","ADCY9"
"ADCYAP1","ADCYAP1","ENSG00000141433","ADCYAP1"
"ADCYAP1R1","ADCYAP1R1","ENSG00000078549","ADCYAP1R1"
"ADD1","ADD1","ENSG00000087274","ADD1"
"ADD2","ADD2","ENSG00000075340","ADD2"
"ADD3","ADD3","ENSG00000148700","ADD3"
"ADD3-AS1","ADD3-AS1","ENSG00000203876","ADD3-AS1"
"ADGB","ADGB","ENSG00000118492","ADGB"
"ADGRA1","ADGRA1","ENSG00000197177","ADGRA1"
"ADGRA2","ADGRA2","ENSG00000020181","ADGRA2"
"ADGRA3","ADGRA3","ENSG00000152990","ADGRA3"
"ADGRB1","ADGRB1","ENSG00000181790","ADGRB1"
"ADGRB2","ADGRB2","ENSG00000121753","ADGRB2"
"ADGRB3","ADGRB3","ENSG00000135298","ADGRB3"
"ADGRD1","ADGRD1","ENSG00000111452","ADGRD1"
"ADGRD2","ADGRD2","ENSG00000180264","ADGRD2"
"ADGRE1","ADGRE1","ENSG00000174837","ADGRE1"
"ADGRE2","ADGRE2","ENSG00000127507","ADGRE2"
"ADGRE3","ADGRE3","ENSG00000131355","ADGRE3"
"ADGRE5","ADGRE5","ENSG00000123146","ADGRE5"
"ADGRF1","ADGRF1","ENSG00000153292","ADGRF1"
"ADGRF2","ADGRF2","ENSG00000164393","ADGRF2"
"ADGRF3","ADGRF3","ENSG00000173567","ADGRF3"
"ADGRF4","ADGRF4","ENSG00000153294","ADGRF4"
"ADGRF5","ADGRF5","ENSG00000069122","ADGRF5"
"ADGRG1","ADGRG1","ENSG00000205336","ADGRG1"
"ADGRG2","ADGRG2","ENSG00000173698","ADGRG2"
"ADGRG3","ADGRG3","ENSG00000182885","ADGRG3"
"ADGRG4","ADGRG4","ENSG00000156920","ADGRG4"
"ADGRG5","ADGRG5","ENSG00000159618","ADGRG5"
"ADGRG6","ADGRG6","ENSG00000112414","ADGRG6"
"ADGRG7","ADGRG7","ENSG00000144820","ADGRG7"
"ADGRL1","ADGRL1","ENSG00000072071","ADGRL1"
"ADGRL2","ADGRL2","ENSG00000117114","ADGRL2"
"ADGRL3","ADGRL3","ENSG00000150471","ADGRL3"
"ADGRL4","ADGRL4","ENSG00000162618","ADGRL4"
"ADGRV1","ADGRV1","ENSG00000164199","ADGRV1"
"ADH1A","ADH1A","ENSG00000187758","ADH1A"
"ADH1B","ADH1B","ENSG00000196616","ADH1B"
"ADH1C","ADH1C","ENSG00000248144","ADH1C"
"ADH4","ADH4","ENSG00000198099","ADH4"
"ADH5","ADH5","ENSG00000197894","ADH5"
"ADH6","ADH6","ENSG00000172955","ADH6"
"ADH7","ADH7","ENSG00000196344","ADH7"
"ADHFE1","ADHFE1","ENSG00000147576","ADHFE1"
"ADI1","ADI1","ENSG00000182551","ADI1"
"ADIG","ADIG","ENSG00000182035","ADIG"
"ADIPOQ","ADIPOQ","ENSG00000181092","ADIPOQ"
"ADIPOQ-AS1","ADIPOQ-AS1","ENSG00000226482","ADIPOQ-AS1"
"ADIPOR1","ADIPOR1","ENSG00000159346","ADIPOR1"
"ADIPOR2","ADIPOR2","ENSG00000006831","ADIPOR2"
"ADIRF","ADIRF","ENSG00000148671","ADIRF"
"ADIRF-AS1","ADIRF-AS1","ENSG00000272734","ADIRF-AS1"
"ADK","ADK","ENSG00000156110","ADK"
"ADM","ADM","ENSG00000148926","ADM"
"ADM2","ADM2","ENSG00000128165","ADM2"
"ADM5","ADM5","ENSG00000224420","ADM5"
"ADNP","ADNP","ENSG00000101126","ADNP"
"ADNP-AS1","ADNP-AS1","ENSG00000259456","ADNP-AS1"
"ADNP2","ADNP2","ENSG00000101544","ADNP2"
"ADO","ADO","ENSG00000181915","ADO"
"ADORA1","ADORA1","ENSG00000163485","ADORA1"
"ADORA2A","ADORA2A","ENSG00000128271","ADORA2A"
"ADORA2A-AS1","ADORA2A-AS1","ENSG00000178803","ADORA2A-AS1"
"ADORA2B","ADORA2B","ENSG00000170425","ADORA2B"
"ADORA3","ADORA3","ENSG00000282608","ADORA3"
"ADPGK","ADPGK","ENSG00000159322","ADPGK"
"ADPGK-AS1","ADPGK-AS1","ENSG00000260898","ADPGK-AS1"
"ADPRH","ADPRH","ENSG00000144843","ADPRH"
"ADPRHL1","ADPRHL1","ENSG00000153531","ADPRHL1"
"ADPRM","ADPRM","ENSG00000170222","ADPRM"
"ADRA1A","ADRA1A","ENSG00000120907","ADRA1A"
"ADRA1B","ADRA1B","ENSG00000170214","ADRA1B"
"ADRA1D","ADRA1D","ENSG00000171873","ADRA1D"
"ADRA2A","ADRA2A","ENSG00000150594","ADRA2A"
"ADRA2B","ADRA2B","ENSG00000274286","ADRA2B"
"ADRA2C","ADRA2C","ENSG00000184160","ADRA2C"
"ADRB1","ADRB1","ENSG00000043591","ADRB1"
"ADRB2","ADRB2","ENSG00000169252","ADRB2"
"ADRB3","ADRB3","ENSG00000188778","ADRB3"
"ADRM1","ADRM1","ENSG00000130706","ADRM1"
"ADSL","ADSL","ENSG00000239900","ADSL"
"ADTRP","ADTRP","ENSG00000111863","ADTRP"
"AEBP1","AEBP1","ENSG00000106624","AEBP1"
"AEBP2","AEBP2","ENSG00000139154","AEBP2"
"AEN","AEN","ENSG00000181026","AEN"
"AFAP1","AFAP1","ENSG00000196526","AFAP1"
"AFAP1-AS1","AFAP1-AS1","ENSG00000272620","AFAP1-AS1"
"AFAP1L1","AFAP1L1","ENSG00000157510","AFAP1L1"
"AFAP1L2","AFAP1L2","ENSG00000169129","AFAP1L2"
"AFDN","AFDN","ENSG00000130396","AFDN"
"AFF1","AFF1","ENSG00000172493","AFF1"
"AFF2","AFF2","ENSG00000155966","AFF2"
"AFF3","AFF3","ENSG00000144218","AFF3"
"AFF4","AFF4","ENSG00000072364","AFF4"
"AFG1L","AFG1L","ENSG00000135537","AFG1L"
"AFG3L2","AFG3L2","ENSG00000141385","AFG3L2"
"AFM","AFM","ENSG00000079557","AFM"
"AFMID","AFMID","ENSG00000183077","AFMID"
"AFP","AFP","ENSG00000081051","AFP"
"AFTPH","AFTPH","ENSG00000119844","AFTPH"
"AGA","AGA","ENSG00000038002","AGA"
"AGAP1","AGAP1","ENSG00000157985","AGAP1"
"AGAP1-IT1","AGAP1-IT1","ENSG00000235529","AGAP1-IT1"
"AGAP2","AGAP2","ENSG00000135439","AGAP2"
"AGAP2-AS1","AGAP2-AS1","ENSG00000255737","AGAP2-AS1"
"AGAP3","AGAP3","ENSG00000133612","AGAP3"
"AGAP4","AGAP4","ENSG00000188234","AGAP4"
"AGAP5","AGAP5","ENSG00000172650","AGAP5"
"AGAP6","AGAP6","ENSG00000204149","AGAP6"
"AGAP9","AGAP9","ENSG00000204172","AGAP9"
"AGBL1","AGBL1","ENSG00000273540","AGBL1"
"AGBL1-AS1","AGBL1-AS1","ENSG00000260125","AGBL1-AS1"
"AGBL2","AGBL2","ENSG00000165923","AGBL2"
"AGBL3","AGBL3","ENSG00000146856","AGBL3"
"AGBL4","AGBL4","ENSG00000186094","AGBL4"
"AGBL4-IT1","AGBL4-IT1","ENSG00000225623","AGBL4-IT1"
"AGBL5","AGBL5","ENSG00000084693","AGBL5"
"AGBL5-AS1","AGBL5-AS1","ENSG00000231636","AGBL5-AS1"
"AGER","AGER","ENSG00000204305","AGER"
"AGFG1","AGFG1","ENSG00000173744","AGFG1"
"AGFG2","AGFG2","ENSG00000106351","AGFG2"
"AGGF1","AGGF1","ENSG00000164252","AGGF1"
"AGK","AGK","ENSG00000006530","AGK"
"AGL","AGL","ENSG00000162688","AGL"
"AGMAT","AGMAT","ENSG00000116771","AGMAT"
"AGMO","AGMO","ENSG00000187546","AGMO"
"AGO1","AGO1","ENSG00000092847","AGO1"
"AGO2","AGO2","ENSG00000123908","AGO2"
"AGO3","AGO3","ENSG00000126070","AGO3"
"AGO4","AGO4","ENSG00000134698","AGO4"
"AGPAT1","AGPAT1","ENSG00000204310","AGPAT1"
"AGPAT2","AGPAT2","ENSG00000169692","AGPAT2"
"AGPAT3","AGPAT3","ENSG00000160216","AGPAT3"
"AGPAT4","AGPAT4","ENSG00000026652","AGPAT4"
"AGPAT5","AGPAT5","ENSG00000155189","AGPAT5"
"AGPS","AGPS","ENSG00000018510","AGPS"
"AGR2","AGR2","ENSG00000106541","AGR2"
