celltype,markers
CD8Tex,FAIM3
CD8Tex,FLT3LG
CD8Tex,GNLY
CD8Tex,GPR171
CD8Tex,GRAP2
CD8Tex,GZMA
CD8Tex,GZMB
CD8Tex,GZMH
CD8Tex,GZMK
CD8Tex,GZMM
CD8Tex,ICOS
CD8Tex,IGKC
CD8Tex,IL7R
CD8Tex,ITK
CD8Tex,KLRB1
CD8Tex,KLRC3
CD8Tex,KLRC4
CD8Tex,KLRD1
CD8Tex,KLRF1
CD8Tex,KLRK1
CD8Tex,LAG3
CD8Tex,LCK
CD8Tex,LEF1
CD8Tex,LIME1
CD8Tex,LTB
CD8Tex,LY9
CD8Tex,MAP4K1
CD8Tex,MAP9
CD8Tex,NCR3
CD8Tex,NKG7
CD8Tex,PIK3IP1
CD8Tex,PRF1
CD8Tex,PTGDR
CD8Tex,PTPRCAP
CD8Tex,PVRIG
CD8Tex,RASA3
CD8Tex,RPL3P7
CD8Tex,SH2D1A
CD8Tex,SIRPG
CD8Tex,TCF7
CD8Tex,TRAC
CD8Tex,TRAT1
CD8Tex,TRAV12-2
CD8Tex,TRAV13-1
CD8Tex,TRBC1
CD8Tex,TRDC
CD8Tex,UBASH3A
CD8Tex,ZAP70
CD8Tex,PDCD1
CD8Tex,CTLA4
CD8Tex,TIGIT
CD8Tex,HAVCR2
DC,AIF1
DC,ALOX15
DC,C1orf54
DC,CCDC102B
DC,CCL13
DC,CCL17
DC,CCL18
DC,CCL22
DC,CD1A
DC,CD1B
DC,CD1C
DC,CD1E
DC,CD209
DC,CD33
DC,CD68
DC,CLEC10A
DC,CLEC4A
DC,CLEC7A
DC,CLIC2
DC,DHRS11
DC,EGR2
DC,FAM198B
DC,FCER1A
DC,FCER2
DC,FLVCR2
DC,FPR3
DC,FZD2
DC,HLA-DQA1
DC,IGSF6
DC,MMP12
DC,NCF2
DC,PLA2G7
DC,PPFIBP1
DC,RNASE6
DC,SCN9A
DC,SLAMF8
DC,SLC15A3
DC,TMEM255A
DC,TREM2
DC,ARHGAP22
DC,BIRC3
DC,CCL1
DC,CCL19
DC,CCL20
DC,CCL5
DC,CCL8
DC,CCR7
DC,CD80
DC,CD86
DC,CHST7
DC,CXCL10
DC,CXCL11
DC,CYP27A1
DC,DHX58
DC,EBI3
DC,ETV3
DC,HESX1
DC,HTR2B
DC,IDO1
DC,IFI44L
DC,IL12B
DC,IL2RA
DC,KYNU
DC,LAMP3
DC,MAP3K13
DC,MSC
DC,NR4A3
DC,PDCD1LG2
DC,PLA1A
DC,PTGIR
DC,RASSF4
DC,RSAD2
DC,SIGLEC1
DC,SLC2A6
DC,SLCO5A1
DC,ST3GAL6
DC,TNFAIP6
DC,TNFRSF11A
DC,TNFRSF4
Endothelial,PECAM1
Endothelial,VWF
Endothelial,ENG
Fibroblasts,FAP
Fibroblasts,PDPN
Fibroblasts,MMP2
Fibroblasts,PDGFRA
Fibroblasts,THY1
Fibroblasts,MMP11
Fibroblasts,PDGFRL
Fibroblasts,TGFB3
Fibroblasts,COL1A2
Fibroblasts,DCN
Fibroblasts,COL3A1
Fibroblasts,COL6A1
Mast,ATP8B4
Mast,BMP2K
Mast,BPI
Mast,C3AR1
Mast,CD33
Mast,CEACAM8
Mast,CLC
Mast,CMA1
Mast,CPA3
Mast,CRISP3
Mast,CTSG
Mast,FAM124B
Mast,FAM174B
Mast,FCER1A
Mast,GFI1
Mast,HDC
Mast,HPGDS
Mast,IL18R1
Mast,LTC4S
Mast,MS4A2
Mast,MS4A3
Mast,MYB
Mast,NOX3
Mast,NTRK1
Mast,P2RX1
Mast,P2RY14
Mast,PAQR5
Mast,PRG2
Mast,RAB27B
Mast,RGS13
Mast,8-Sep
Mast,SLC12A8
Mast,ST8SIA1
Mast,STAP1
Mast,STXBP6
Mast,TPSAB1
Mast,CCL1
Mast,CCL20
Mast,CCL4
Mast,CSF2
Mast,CXCL3
Mast,GZMB
Mast,HOXA1
Mast,IL1A
Mast,IL1B
Mast,IL1RL1
Mast,IL3
Mast,IL5
Mast,LINC00597
Mast,3-Mar
Mast,TEC
Mono/Macro,AIF1
Mono/Macro,APOBEC3A
Mono/Macro,AQP9
Mono/Macro,ASGR1
Mono/Macro,ASGR2
Mono/Macro,BST1
Mono/Macro,C5AR1
Mono/Macro,CCR2
Mono/Macro,CD1D
Mono/Macro,CD33
Mono/Macro,CD68
Mono/Macro,CDA
Mono/Macro,CFP
Mono/Macro,CHST15
Mono/Macro,CLEC4A
Mono/Macro,CLEC7A
Mono/Macro,CREB5
Mono/Macro,CSF3R
Mono/Macro,FAM198B
Mono/Macro,FCN1
Mono/Macro,FES
Mono/Macro,FOSB
Mono/Macro,FPR1
Mono/Macro,FZD2
Mono/Macro,HCK
Mono/Macro,HK3
Mono/Macro,HNMT
Mono/Macro,HPSE
Mono/Macro,IGSF6
Mono/Macro,LILRA2
Mono/Macro,LILRA3
Mono/Macro,LILRB2
Mono/Macro,LST1
Mono/Macro,MEFV
Mono/Macro,MNDA
Mono/Macro,MS4A6A
Mono/Macro,NCF2
Mono/Macro,NFE2
Mono/Macro,NLRP3
Mono/Macro,NOD2
Mono/Macro,P2RY13
Mono/Macro,PADI4
Mono/Macro,RNASE2
Mono/Macro,RNASE6
Mono/Macro,S100A12
Mono/Macro,SLC15A3
Mono/Macro,TLR2
Mono/Macro,TLR7
Mono/Macro,TLR8
Mono/Macro,UPK3A
Mono/Macro,VNN1
Mono/Macro,VNN2
Mono/Macro,ACP5
Mono/Macro,ADAMDEC1
Mono/Macro,BHLHE41
Mono/Macro,CCDC102B
Mono/Macro,CCL18
Mono/Macro,CCL22
Mono/Macro,CCL7
Mono/Macro,CHI3L1
Mono/Macro,COL8A2
Mono/Macro,CSF1
Mono/Macro,CXCL3
Mono/Macro,CXCL5
Mono/Macro,CYP27A1
Mono/Macro,DCSTAMP
Mono/Macro,GPC4
Mono/Macro,MARCO
Mono/Macro,MMP9
Mono/Macro,PLA2G7
Mono/Macro,PPBP
Mono/Macro,QPCT
Mono/Macro,SLAMF8
Mono/Macro,SLC12A8
Mono/Macro,TNFSF14
Mono/Macro,TREM2
Mono/Macro,ACHE
Mono/Macro,APOL3
Mono/Macro,APOL6
Mono/Macro,ARRB1
Mono/Macro,CCL19
Mono/Macro,CCL5
Mono/Macro,CCL8
Mono/Macro,CCR7
Mono/Macro,CD38
Mono/Macro,CD40
Mono/Macro,CLIC2
Mono/Macro,CXCL10
Mono/Macro,CXCL11
Mono/Macro,CXCL13
Mono/Macro,CXCL9
Mono/Macro,CYP27B1
Mono/Macro,DHX58
Mono/Macro,EBI3
Mono/Macro,GGT5
Mono/Macro,HESX1
Mono/Macro,IDO1
Mono/Macro,IFI44L
Mono/Macro,IL2RA
Mono/Macro,KIAA0754
Mono/Macro,KYNU
Mono/Macro,LAG3
Mono/Macro,LAMP3
Mono/Macro,PLA1A
Mono/Macro,PTGIR
Mono/Macro,RASSF4
Mono/Macro,RSAD2
Mono/Macro,SIGLEC1
Mono/Macro,SLAMF1
Mono/Macro,SLC2A6
Mono/Macro,SOCS1
Mono/Macro,TNFAIP6
Mono/Macro,TNIP3
Mono/Macro,TRPM4
Mono/Macro,ALOX15
Mono/Macro,CCL13
Mono/Macro,CCL14
Mono/Macro,CCL23
Mono/Macro,CD209
Mono/Macro,CD4
Mono/Macro,CLEC10A
Mono/Macro,CRYBB1
Mono/Macro,FRMD4A
Mono/Macro,GSTT1
Mono/Macro,HRH1
Mono/Macro,HTR2B
Mono/Macro,NME8
Mono/Macro,NPL
Mono/Macro,PDCD1LG2
Mono/Macro,RENBP
Mono/Macro,WNT5B
Myofibroblasts,ACTA2
Myofibroblasts,MCAM
Myofibroblasts,MYLK
Myofibroblasts,MYL9
Myofibroblasts,IL6
Myofibroblasts,PDGFA
Neutrophils,AIF1
Neutrophils,APOBEC3A
Neutrophils,AQP9
Neutrophils,BTNL8
Neutrophils,C5AR1
Neutrophils,CAMP
Neutrophils,CASP5
Neutrophils,CCR3
Neutrophils,CDA
Neutrophils,CEACAM3
Neutrophils,CFP
Neutrophils,CHI3L1
Neutrophils,CHST15
Neutrophils,CLC
Neutrophils,CREB5
Neutrophils,CSF3R
Neutrophils,CXCR1
Neutrophils,CXCR2
Neutrophils,DPEP2
Neutrophils,EMR2
Neutrophils,EMR3
Neutrophils,FAM212B
Neutrophils,FCGR3B
Neutrophils,FFAR2
Neutrophils,FPR1
Neutrophils,FPR2
Neutrophils,GPR97
Neutrophils,HAL
Neutrophils,HSPA6
Neutrophils,IGSF6
Neutrophils,IL18RAP
Neutrophils,LILRA2
Neutrophils,LILRB2
Neutrophils,LST1
Neutrophils,MAK
Neutrophils,MEFV
Neutrophils,MGAM
Neutrophils,MMP25
Neutrophils,MNDA
Neutrophils,MXD1
Neutrophils,NCF2
Neutrophils,NFE2
Neutrophils,P2RY13
Neutrophils,P2RY14
Neutrophils,PADI4
Neutrophils,PGLYRP1
Neutrophils,PLEKHG3
Neutrophils,QPCT
Neutrophils,REPS2
Neutrophils,S100A12
Neutrophils,STEAP4
Neutrophils,TLR2
Neutrophils,TLR8
Neutrophils,TNFAIP6
Neutrophils,TNFRSF10C
Neutrophils,TREM1
Neutrophils,TREML2
Neutrophils,VNN1
Neutrophils,VNN2
Neutrophils,VNN3
NK,BPI
NK,CAMP
NK,CCL5
NK,CD160
NK,CD2
NK,CD244
NK,CD247
NK,CD7
NK,CD96
NK,CDHR1
NK,CEACAM8
NK,CST7
NK,CTSW
NK,DEFA4
NK,ELANE
NK,GFI1
NK,GNLY
NK,GZMA
NK,GZMB
NK,GZMH
NK,GZMK
NK,GZMM
NK,IL12RB2
NK,IL18R1
NK,IL18RAP
NK,IL2RB
NK,KIR2DL1
NK,KIR3DL2
NK,KLRB1
NK,KLRC3
NK,KLRC4
NK,KLRD1
NK,KLRF1
NK,KLRK1
NK,LCK
NK,MGAM
NK,MS4A3
NK,NAALADL1
NK,NKG7
NK,NME8
NK,PLEKHF1
NK,PRF1
NK,PRR5L
NK,PTGDR
NK,PTPRCAP
NK,PVRIG
NK,S1PR5
NK,SH2D1A
NK,TBX21
NK,TEP1
NK,TRBC1
NK,TRDC
NK,TTC38
NK,TXK
NK,ZAP70
NK,ZNF135
NK,APOBEC3G
NK,APOL6
NK,CCL4
NK,CCND2
NK,CD69
NK,CDK6
NK,CSF2
NK,DPP4
NK,FASLG
NK,GPR171
NK,GPR18
NK,GRAP2
NK,IFNG
NK,KIR2DL4
NK,KIR2DS4
NK,LTA
NK,LTB
NK,NCR3
NK,OSM
NK,PTGER2
NK,SOCS1
NK,TNFSF14
pDC,AIF1
pDC,ALOX15
pDC,C1orf54
pDC,CCpDC102B
pDC,CCL13
pDC,CCL17
pDC,CCL18
pDC,CD1A
pDC,CD1B
pDC,CD1C
pDC,CD1E
pDC,CD33
pDC,CD68
pDC,CLEC10A
pDC,CLEC4A
pDC,CLEC7A
pDC,CLIC2
pDC,DHRS11
pDC,EGR2
pDC,FAM198B
pDC,FCER1A
pDC,FCER2
pDC,FLVCR2
pDC,FPR3
pDC,FZD2
pDC,HLA-DQA1
pDC,IGSF6
pDC,MMP12
pDC,NCF2
pDC,PLA2G7
pDC,PPFIBP1
pDC,RNASE6
pDC,SCN9A
pDC,SLAMF8
pDC,SLC15A3
pDC,TMEM255A
pDC,TREM2
pDC,CLEC4C
pDC,IRF7
pDC,LILRB4
pDC,Siglech
pDC,ARHGAP22
pDC,BIRC3
pDC,CCL1
pDC,CCL19
pDC,CCL20
pDC,CCL5
pDC,CCL8
pDC,CCR7
pDC,CD80
pDC,CD86
pDC,CHST7
pDC,CXCL10
pDC,CXCL11
pDC,CYP27A1
pDC,DHX58
pDC,EBI3
pDC,ETV3
pDC,HESX1
pDC,HTR2B
pDC,IDO1
pDC,IFI44L
pDC,IL12B
pDC,IL2RA
pDC,KYNU
pDC,LAMP3
pDC,MAP3K13
pDC,MSC
pDC,NR4A3
pDC,PpDCD1LG2
pDC,PLA1A
pDC,PTGIR
pDC,RASSF4
pDC,RSAD2
pDC,SIGLEC1
pDC,SLC2A6
pDC,SLCO5A1
pDC,ST3GAL6
pDC,TNFAIP6
pDC,TNFRSF11A
pDC,TNFRSF4
Plasma,ABCB9
Plasma,AMPD1
Plasma,ANGPT4
Plasma,ATXN8OS
Plasma,C11orf80
Plasma,CCR10
Plasma,CD27
Plasma,CD38
Plasma,CD79A
Plasma,DENND5B
Plasma,EAF2
Plasma,FCRL2
Plasma,GNG7
Plasma,GPR25
Plasma,GUSBP11
Plasma,HIST1H2AE
Plasma,HIST1H2BG
Plasma,HLA-DOB
Plasma,IGHD
Plasma,IGHE
Plasma,IGHM
Plasma,IGKC
Plasma,IGLL3P
Plasma,KCNA3
Plasma,KCNG2
Plasma,LIME1
Plasma,LOC100130100
Plasma,MAN1A1
Plasma,MANEA
Plasma,MAST1
Plasma,MROH7
Plasma,MZB1
Plasma,P2RX5
Plasma,PAX7
Plasma,PDK1
Plasma,PNOC
Plasma,RASGRP3
Plasma,REN
Plasma,RGS13
Plasma,RPL3P7
Plasma,SIK1
Plasma,SPAG4
Plasma,ST6GALNAC4
Plasma,TGM5
Plasma,TMEM156
Plasma,TNFRSF17
Plasma,UGT2B17
Plasma,ZBP1
Plasma,ZNF165
TMKI67,BCL11B
TMKI67,CD2
TMKI67,CD247
TMKI67,CD27
TMKI67,CD28
TMKI67,CD3D
TMKI67,CD3E
TMKI67,CD3G
TMKI67,CD6
TMKI67,CD7
TMKI67,CD8A
TMKI67,CD8B
TMKI67,CD96
TMKI67,CXCR6
TMKI67,FLT3LG
TMKI67,FYN
TMKI67,GIMAP4
TMKI67,GPR171
TMKI67,GZMK
TMKI67,GZMM
TMKI67,ICOS
TMKI67,ITK
TMKI67,LCK
TMKI67,LIME1
TMKI67,PRKCH
TMKI67,PSTPIP1
TMKI67,SH2D1A
TMKI67,SIRPG
TMKI67,TNFRSF9
TMKI67,TRAC
TMKI67,TRAT1
TMKI67,TRBC1
TMKI67,TRBC2
TMKI67,UBASH3A
TMKI67,ZAP70
TMKI67,AURKA
TMKI67,BIRC5
TMKI67,BUB1
TMKI67,CCNA2
TMKI67,CCNB1
TMKI67,CDC20
TMKI67,CDK1
TMKI67,CDKN3
TMKI67,FEN1
TMKI67,HMGB2
TMKI67,MCM2
TMKI67,MCM5
TMKI67,MCM6
TMKI67,MYBL2
TMKI67,NUSAP1
TMKI67,PCNA
TMKI67,PLK1
TMKI67,TOP2A
TMKI67,ZWINT
Treg,BARX2
Treg,BCL11B
Treg,CD2
Treg,CD247
Treg,CD27
Treg,CD28
Treg,CD3D
Treg,CD3E
Treg,CD3G
Treg,CD4
Treg,CD5
Treg,CD6
Treg,CD70
Treg,CD96
Treg,CEMP1
Treg,CLEC2D
Treg,CTLA4
Treg,DGKA
Treg,DPP4
Treg,EFNA5
Treg,FOXP3
Treg,FRMD8
Treg,GPR1
Treg,GPR171
Treg,GPR19
Treg,GZMM
Treg,HIC1
Treg,HMGB3P30
Treg,ICOS
Treg,IL2RA
Treg,IL2RB
Treg,ITK
Treg,KIRREL
Treg,LAIR2
Treg,LCK
Treg,LILRA4
Treg,LOC126987
Treg,LTB
Treg,MAP4K1
Treg,MBL2
Treg,NPAS1
Treg,NTN3
Treg,PCDHA5
Treg,PLCH2
Treg,PMCH
Treg,PTGIR
Treg,PTPRG
Treg,RCAN3
Treg,RYR1
Treg,SEC31B
Treg,SEPT5
Treg,SH2D1A
Treg,SIRPG
Treg,SIT1
Treg,SKAP1
Treg,SPOCK2
Treg,SSX1
Treg,TRAC
Treg,TRAT1
Treg,TRAV9-2
Treg,TRBC1
Treg,TYR
Treg,UBASH3A
Treg,ZAP70
